timestamp,frame,fps,latency_ms,yolo_inference_ms,face_mesh_ms,cpu_usage_percent
2026-08-20 19:51:52,1,2.33,429.88,0.0,8.0,5.0
2026-08-20 19:51:52,2,3.23,41.64,0.0,21.06,16.1
2026-08-20 19:51:55,3,2.93,3227.05,3193.51,15.59,14.1
2026-08-20 19:51:55,4,6.51,12.7,0.0,9.37,73.2
2026-08-20 19:51:55,5,10.95,14.69,0.0,8.01,86.4
2026-08-20 19:51:55,6,11.06,78.03,27.17,4.03,74.0
2026-08-20 19:51:55,7,13.47,10.05,0.0,6.11,68.3
2026-08-20 19:51:55,8,18.46,9.8,0.0,5.12,68.4
2026-08-20 19:51:56,9,18.83,38.92,26.94,7.37,80.6
2026-08-20 19:51:56,10,21.6,12.37,0.0,7.68,75.0
2026-08-20 19:51:56,11,22.33,15.54,0.0,9.38,92.5
2026-08-20 19:51:56,12,21.73,45.39,26.94,3.57,89.3
2026-08-20 19:51:56,13,23.49,8.27,0.0,5.22,82.5
2026-08-20 19:51:56,14,26.96,9.66,0.0,6.25,100.0
2026-08-20 19:51:56,15,26.97,31.49,23.53,5.04,78.0
2026-08-20 19:51:56,16,28.34,8.17,0.0,4.89,80.5
2026-08-20 19:51:56,17,34.19,8.56,0.0,4.93,100.0
2026-08-20 19:51:56,18,32.11,63.01,23.29,5.95,71.7
2026-08-20 19:51:56,19,32.85,8.78,0.0,4.78,71.4
2026-08-20 19:51:56,20,35.86,8.62,0.0,5.22,90.0
2026-08-20 19:51:56,21,34.4,39.77,18.34,13.54,78.3
2026-08-20 19:51:56,22,34.71,18.45,0.0,13.26,76.2
2026-08-20 19:51:56,23,36.23,8.02,0.0,3.56,70.0
2026-08-20 19:51:56,24,34.02,62.32,22.5,4.03,74.7
2026-08-20 19:51:56,25,34.7,8.45,0.0,5.44,59.1
2026-08-20 19:51:56,26,36.2,13.53,0.0,6.2,82.1
2026-08-20 19:51:56,27,34.62,30.63,21.72,5.85,70.5
2026-08-20 19:51:56,28,34.98,10.28,0.0,6.57,65.0
2026-08-20 19:51:56,29,38.65,8.21,0.0,5.17,85.0
2026-08-20 19:51:56,30,36.47,51.72,21.67,4.23,72.5
2026-08-20 19:51:56,31,38.05,8.22,0.0,5.3,65.0
2026-08-20 19:51:56,32,38.72,14.69,0.0,5.67,80.0
2026-08-20 19:51:56,33,37.08,28.57,19.38,6.17,78.0
2026-08-20 19:51:56,34,37.51,6.67,0.0,3.37,63.6
2026-08-20 19:51:56,35,39.88,7.43,0.0,4.41,65.0
2026-08-20 19:51:56,36,37.08,76.37,24.71,4.22,77.1
2026-08-20 19:51:56,37,37.16,8.21,0.0,5.09,60.9
2026-08-20 19:51:56,38,40.23,8.0,0.0,4.08,71.4
2026-08-20 19:51:57,39,38.92,28.88,21.03,4.79,77.6
2026-08-20 19:51:57,40,38.79,8.45,0.0,5.39,63.6
2026-08-20 19:51:57,41,40.7,10.24,0.0,5.07,75.0
2026-08-20 19:51:57,42,38.2,57.88,21.38,4.48,70.0
2026-08-20 19:51:57,43,37.83,8.37,0.0,5.09,70.0
2026-08-20 19:51:57,44,39.08,12.19,0.0,6.28,80.0
2026-08-20 19:51:57,45,37.53,36.73,28.47,4.51,90.0
2026-08-20 19:51:57,46,38.94,12.07,0.0,5.03,73.7
2026-08-20 19:51:57,47,38.74,7.65,0.0,4.55,60.9
2026-08-20 19:51:57,48,36.27,63.67,19.34,5.65,72.0
2026-08-20 19:51:57,49,36.94,8.3,0.0,4.6,70.0
2026-08-20 19:51:57,50,38.16,13.88,0.0,5.39,75.0
2026-08-20 19:51:57,51,36.38,30.93,23.57,3.84,77.2
2026-08-20 19:51:57,52,37.05,7.59,0.0,4.61,56.5
2026-08-20 19:51:57,53,41.57,9.21,0.0,5.34,65.0
2026-08-20 19:51:57,54,38.93,63.04,22.34,5.24,75.3
2026-08-20 19:51:57,55,40.13,11.23,0.0,6.57,65.0
2026-08-20 19:51:57,56,39.51,10.26,0.0,6.27,67.5
2026-08-20 19:51:57,57,38.22,31.74,21.91,5.04,79.7
2026-08-20 19:51:57,58,38.53,7.94,0.0,4.94,63.6
2026-08-20 19:51:57,59,39.71,12.22,0.0,5.88,84.6
2026-08-20 19:51:57,60,36.84,86.86,33.19,5.51,90.4
2026-08-20 19:51:57,61,39.9,8.06,0.0,5.1,75.0
2026-08-20 19:51:57,62,41.8,9.17,0.0,4.48,75.0
2026-08-20 19:51:57,63,40.22,31.43,24.07,4.63,76.7
2026-08-20 19:51:57,64,39.11,18.01,0.0,13.82,65.9
2026-08-20 19:51:57,65,39.92,7.66,0.0,4.47,65.0
2026-08-20 19:51:57,66,37.68,48.62,25.0,3.82,73.8
2026-08-20 19:51:57,67,38.74,7.91,0.0,4.68,70.0
2026-08-20 19:51:57,68,40.45,10.84,0.0,5.47,85.3
2026-08-20 19:51:58,69,39.19,30.76,21.6,5.87,66.0
2026-08-20 19:51:58,70,39.06,9.08,0.0,3.49,79.4
2026-08-20 19:51:58,71,39.07,19.13,0.0,13.39,57.7
2026-08-20 19:51:58,72,36.23,80.91,37.91,4.12,72.5
2026-08-20 19:51:58,73,36.89,9.65,0.0,5.0,80.5
2026-08-20 19:51:58,74,37.32,17.94,0.0,14.48,80.0
2026-08-20 19:51:58,75,35.77,31.84,22.29,5.1,78.3
2026-08-20 19:51:58,76,36.19,9.3,0.0,5.41,72.5
2026-08-20 19:51:58,77,38.62,10.84,0.0,5.94,85.7
2026-08-20 19:51:58,78,37.14,36.85,22.1,4.43,86.5
2026-08-20 19:51:58,79,38.86,7.73,0.0,4.78,64.3
2026-08-20 19:51:58,80,39.07,16.11,0.0,6.09,85.0
2026-08-20 19:51:58,81,37.23,32.56,24.64,4.83,75.0
2026-08-20 19:51:58,82,37.69,8.36,0.0,4.63,82.1
2026-08-20 19:51:58,83,39.54,10.71,0.0,5.24,65.0
2026-08-20 19:51:58,84,36.88,72.56,26.88,3.9,78.4
2026-08-20 19:51:58,85,39.73,8.38,0.0,5.32,70.0
2026-08-20 19:51:58,86,39.46,19.3,0.0,5.48,70.7
2026-08-20 19:51:58,87,37.69,33.22,25.41,4.83,70.0
2026-08-20 19:51:58,88,40.88,7.33,0.0,3.48,100.0
2026-08-20 19:51:58,89,41.11,8.03,0.0,4.03,80.5
2026-08-20 19:51:58,90,38.54,57.25,23.45,6.07,82.5
2026-08-20 19:51:58,91,40.79,9.63,0.0,5.81,65.0
2026-08-20 19:51:58,92,40.24,22.27,0.0,7.29,75.0
2026-08-20 19:51:58,93,38.56,33.13,23.95,4.82,78.0
2026-08-20 19:51:58,94,38.86,9.16,0.0,4.04,71.4
2026-08-20 19:51:58,95,41.86,8.22,0.0,4.93,65.0
2026-08-20 19:51:58,96,38.89,74.63,26.2,3.71,75.5
2026-08-20 19:51:58,97,37.94,15.12,0.0,11.84,71.0
2026-08-20 19:51:59,98,38.4,7.72,0.0,4.65,85.7
2026-08-20 19:51:59,99,36.99,32.79,22.67,5.19,76.7
2026-08-20 19:51:59,100,37.87,7.2,0.0,3.43,65.0
2026-08-20 19:51:59,101,40.15,7.69,0.0,4.59,75.0
2026-08-20 19:51:59,102,37.89,48.63,25.1,3.82,75.0
2026-08-20 19:51:59,103,38.64,8.11,0.0,5.16,65.0
2026-08-20 19:51:59,104,40.85,9.6,0.0,5.1,75.0
2026-08-20 19:51:59,105,39.45,30.88,21.99,5.14,78.0
2026-08-20 19:51:59,106,39.52,21.02,0.0,4.51,61.9
2026-08-20 19:51:59,107,41.01,10.6,0.0,5.58,88.9
2026-08-20 19:51:59,108,37.92,93.79,25.97,13.6,70.4
2026-08-20 19:51:59,109,38.38,7.81,0.0,3.8,81.0
2026-08-20 19:51:59,110,39.74,10.86,0.0,7.79,77.5
2026-08-20 19:51:59,111,38.11,37.55,26.97,5.65,80.0
2026-08-20 19:51:59,112,40.12,7.24,0.0,3.45,65.0
2026-08-20 19:51:59,113,42.18,7.81,0.0,4.73,75.0
2026-08-20 19:51:59,114,39.66,50.38,22.72,4.72,75.3
